,AGEP,MSP,noisy_count,true_count,plus_error,minus_error,error,nth_remeasure,noisy_count_prev,true_count_prev,minus_error_prev,plus_error_prev,error_prev
182,75-84,Widowed,16.3,15.0,17.4,15.1,1.2,3,17.0,15.0,15.4,18.5,1.6
183,75-84,Divorced,12.7,13.0,13.9,11.5,1.2,3,11.7,13.0,10.1,13.3,1.6
184,75-84,Separated,1.9,0.0,3.1,0.7,1.2,3,0.4,0.0,-1.1,2.0,1.6
185,75-84,Never married,-1.9,3.0,-0.7,-3.1,1.2,3,1.6,3.0,0.1,3.2,1.6
186,85-99,"Now married, spouse present",0.2,4.0,1.4,-0.9,1.2,3,1.9,4.0,0.3,3.5,1.6
187,85-99,"Now Married, spouse absent",1.9,0.0,3.1,0.7,1.2,3,3.6,0.0,2.0,5.1,1.6
188,85-99,Widowed,12.4,14.0,13.5,11.2,1.2,3,16.0,14.0,14.5,17.6,1.6
189,85-99,Divorced,2.5,3.0,3.7,1.3,1.2,3,4.9,3.0,3.4,6.5,1.6
190,85-99,Separated,-2.0,1.0,-0.8,-3.2,1.2,3,-3.4,1.0,-5.0,-1.8,1.6
191,85-99,Never married,-2.4,0.0,-1.2,-3.6,1.2,3,-2.6,0.0,-4.1,-1.0,1.6
192,15-24,"Now married, spouse present",1.5,4.0,2.5,0.6,0.9,4,2.1,4.0,0.9,3.3,1.2
193,15-24,"Now Married, spouse absent",4.6,2.0,5.6,3.7,0.9,4,5.4,2.0,4.2,6.5,1.2
194,15-24,Widowed,-2.2,0.0,-1.2,-3.1,0.9,4,-2.1,0.0,-3.3,-1.0,1.2
195,15-24,Divorced,1.6,0.0,2.5,0.6,0.9,4,1.4,0.0,0.2,2.6,1.2
196,15-24,Separated,-0.9,0.0,0.0,-1.8,0.9,4,-1.7,0.0,-2.8,-0.5,1.2
197,15-24,Never married,133.7,137.0,134.7,132.8,0.9,4,136.1,137.0,135.0,137.3,1.2
198,25-34,"Now married, spouse present",48.3,47.0,49.3,47.4,0.9,4,47.2,47.0,46.0,48.4,1.2
199,25-34,"Now Married, spouse absent",5.9,6.0,6.9,5.0,0.9,4,6.3,6.0,5.1,7.5,1.2
200,25-34,Widowed,-2.0,0.0,-1.0,-2.9,0.9,4,-2.0,0.0,-3.2,-0.8,1.2
201,25-34,Divorced,0.0,2.0,1.0,-0.9,0.9,4,0.0,2.0,-1.1,1.2,1.2
202,25-34,Separated,1.8,1.0,2.7,0.8,0.9,4,2.5,1.0,1.4,3.7,1.2
203,25-34,Never married,103.6,102.0,104.6,102.7,0.9,4,103.3,102.0,102.2,104.5,1.2
204,35-44,"Now married, spouse present",85.3,84.0,86.3,84.4,0.9,4,85.2,84.0,84.0,86.4,1.2
205,35-44,"Now Married, spouse absent",8.9,8.0,9.8,8.0,0.9,4,8.8,8.0,7.6,9.9,1.2
206,35-44,Widowed,1.6,0.0,2.6,0.7,0.9,4,1.9,0.0,0.8,3.1,1.2
207,35-44,Divorced,11.0,10.0,11.9,10.0,0.9,4,10.8,10.0,9.7,12.0,1.2
208,35-44,Separated,6.3,7.0,7.3,5.4,0.9,4,7.0,7.0,5.8,8.2,1.2
209,35-44,Never married,41.8,43.0,42.7,40.8,0.9,4,41.5,43.0,40.3,42.7,1.2
210,45-54,"Now married, spouse present",82.2,82.0,83.1,81.2,0.9,4,84.7,82.0,83.5,85.8,1.2
211,45-54,"Now Married, spouse absent",1.4,4.0,2.3,0.5,0.9,4,1.4,4.0,0.3,2.6,1.2
212,45-54,Widowed,4.8,3.0,5.7,3.8,0.9,4,3.5,3.0,2.4,4.7,1.2
213,45-54,Divorced,20.3,18.0,21.2,19.3,0.9,4,20.5,18.0,19.3,21.7,1.2
214,45-54,Separated,7.8,7.0,8.7,6.8,0.9,4,5.3,7.0,4.2,6.5,1.2
215,45-54,Never married,32.5,33.0,33.4,31.6,0.9,4,32.6,33.0,31.4,33.8,1.2
216,55-64,"Now married, spouse present",92.5,92.0,93.4,91.6,0.9,4,92.4,92.0,91.3,93.6,1.2
217,55-64,"Now Married, spouse absent",7.0,7.0,7.9,6.0,0.9,4,6.8,7.0,5.6,7.9,1.2
218,55-64,Widowed,7.4,8.0,8.4,6.5,0.9,4,8.5,8.0,7.3,9.7,1.2
219,55-64,Divorced,25.2,25.0,26.1,24.2,0.9,4,25.9,25.0,24.7,27.1,1.2
220,55-64,Separated,6.1,7.0,7.0,5.1,0.9,4,7.4,7.0,6.3,8.6,1.2
221,55-64,Never married,23.9,25.0,24.8,22.9,0.9,4,23.6,25.0,22.4,24.7,1.2
222,65-74,"Now married, spouse present",93.2,91.0,94.2,92.3,0.9,4,94.6,91.0,93.4,95.7,1.2
223,65-74,"Now Married, spouse absent",5.6,4.0,6.6,4.7,0.9,4,6.3,4.0,5.1,7.4,1.2
224,65-74,Widowed,22.0,24.0,23.0,21.1,0.9,4,21.5,24.0,20.3,22.7,1.2
225,65-74,Divorced,21.3,24.0,22.3,20.4,0.9,4,20.2,24.0,19.0,21.4,1.2
226,65-74,Separated,2.9,1.0,3.9,2.0,0.9,4,3.2,1.0,2.1,4.4,1.2
227,65-74,Never married,18.6,17.0,19.5,17.7,0.9,4,18.7,17.0,17.6,19.9,1.2
228,75-84,"Now married, spouse present",19.3,20.0,20.2,18.3,0.9,4,19.3,20.0,18.1,20.5,1.2
229,75-84,"Now Married, spouse absent",2.0,2.0,3.0,1.1,0.9,4,2.4,2.0,1.2,3.6,1.2
230,75-84,Widowed,16.1,15.0,17.0,15.2,0.9,4,16.3,15.0,15.1,17.4,1.2
231,75-84,Divorced,13.2,13.0,14.2,12.3,0.9,4,12.7,13.0,11.5,13.9,1.2
